"No.","Quantity","Comment","LCSC Price","Manufacturer","Manufacturer Part","Supplier","Supplier Part","Device","Footprint","Name","Designator"
"1","1","0Ω","0.0077","FOJAN(富捷)","FRC0603F0000TS","LCSC","C2906974","FRC0603F0000TS","R0603","0Ω","R18"
"2","1","1kΩ","0.0063","FOJAN(富捷)","FRC0603F1001TS","LCSC","C2907002","FRC0603F1001TS","R0603","1kΩ","R20"
"3","1","1N5819W","0.0499","JSMSEMI(杰盛微)","1N5819W","LCSC","C963381","1N5819W_C963381","SOD-123_L2.7-W1.6-LS3.7-R-RD","1N5819W","D5"
"4","1","1uF","0.1836","YAGEO(国巨)","CC0603KRX7R9BB105","LCSC","C559769","CC0603KRX7R9BB105","C0603","1uF","C1"
"5","1","1.25T-2AW","0.0624","CAX(创都)","1.25T-2AW","LCSC","C722634","1.25T-2AW","CONN-TH_1.25T-2AW","1.25T-2AW","CN1"
"6","1","2kΩ","0.0046","UNI-ROYAL(厚声)","0402WGF2001TCE","LCSC","C4109","0402WGF2001TCE","R0402","2kΩ","R14"
"7","1","5.1kΩ","0.0051","UNI-ROYAL(厚声)","0402WGF5101TCE","LCSC","C25905","0402WGF5101TCE","R0402","5.1kΩ","R11"
"8","1","30kΩ","0.135","YAGEO(国巨)","RT0603BRD0730KL","LCSC","C723585","RT0603BRD0730KL","R0603","30kΩ","R17"
"9","1","100nF","0.0094","SAMSUNG(三星)","CL05B104KO5NNNC","LCSC","C1525","CL05B104KO5NNNC","C0402","100nF","C8"
"10","1","220Ω","0.0068","UNI-ROYAL(厚声)","0603WAJ0221T5E","LCSC","C1226","0603WAJ0221T5E","R0603","220Ω","R19"
"11","1","2541WV-2x10P","0.4272","HanElectricity(瀚源)","2541WV-2x10P","LCSC","C5383109","2541WV-2x10P","HDR-TH_20P-P2.54-V-M-R2-C10-S2.54","2541WV-2x10P","U8"
"12","1","A-SP194B1C-C03-4T","0.1465","Amicc(欧密格光电)","A-SP194B1C-C03-4T","LCSC","C5179639","A-SP194B1C-C03-4T","LED0603-R-RD_BLUE","A-SP194B1C-C03-4T","U7"
"13","1","AO3401A","0.3871","AOS","AO3401A","LCSC","C15127","AO3401A_C15127","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","AO3401A","Q2"
"14","1","CH340K","","WCH(南京沁恒)","CH340K","LCSC","C18208922","CH340K_C18208922","ESOP-10_L4.9-W3.9-P1.00-LS6.0-BL-EP","CH340K","U2"
"15","1","DG308-2.54-02P-14-00A(H)","1.9912","DEGSON(高正/高松)","DG308-2.54-02P-14-00A(H)","LCSC","C699496","DG308-2.54-02P-14-00A(H)","CONN-TH_DG308-2.54-02P-14-00A","DG308-2.54-02P-14-00A(H)","CN2"
"16","1","ESP32-S3-WROOM-1-N16R8","33.33","ESPRESSIF(乐鑫)","ESP32-S3-WROOM-1-N16R8","LCSC","C2913202","ESP32-S3-WROOM-1-N16R8","WIRELM-SMD_ESP32-S3-WROOM-1","ESP32-S3-WROOM-1-N16R8","U1"
"17","1","LMBT3904DW1T1G","0.1633","LRC(乐山无线电)","LMBT3904DW1T1G","LCSC","C131781","LMBT3904DW1T1G","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR","LMBT3904DW1T1G","Q1"
"18","1","LTST-C191GKT","0.2776","LITEON(光宝)","LTST-C191GKT","LCSC","C99289","LTST-C191GKT","LED0603-R-RD_GREEN","LTST-C191GKT","LED3"
"19","1","MSK12C02","0.3475","SHOU HAN(首韩)","MSK12C02","LCSC","C431540","MSK12C02","SW-TH_MSK12C02","MSK12C02","SW3"
"20","1","RH-5000","0.4887","荣和","RH-5000","LCSC","C5277086","RH-5000","TEST-TH_BD2.54-P1.4_RED","RH-5000","U5"
"21","1","SHT31-DIS-B2.5kS","30.15","Sensirion(瑞士盛思锐)","SHT31-DIS-B2.5kS","LCSC","C80862","SHT31-DIS-B2.5kS","DFN-8_L2.5-W2.5-P0.50-BL-EP","SHT31-DIS-B2.5kS","S1"
"22","1","TLV521DCKT","1.47","TI(德州仪器)","TLV521DCKT","LCSC","C2057492","TLV521DCKT","SC-70-5_L2.1-W1.3-P0.65-LS2.2-BR","TLV521DCKT","U6"
"23","1","TLV75533PDBVR","0.7792","TI(德州仪器)","TLV75533PDBVR","LCSC","C404027","TLV75533PDBVR","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","TLV75533PDBVR","U4"
"24","1","TP4056","0.4571","UMW(友台半导体)","TP4056","LCSC","C725790","TP4056_C725790","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","TP4056","U3"
"25","1","XL-1608SURC-06","0.0231","XINGLIGHT(成兴光)","XL-1608SURC-06","LCSC","C965799","XL-1608SURC-06","LED0603-RD_RED","XL-1608SURC-06","LED1"
"26","2","4.7kΩ","0.009","YAGEO(国巨)","RC0603FR-074K7L","LCSC","C99782","RC0603FR-074K7L","R0603","4.7kΩ","R3,R4"
"27","2","10kΩ","0.0066","FOJAN(富捷)","FRC0603F1002TS","LCSC","C2906982","FRC0603F1002TS","R0603","10kΩ","R5,R6"
"28","2","BSMD0603L-100","0.4762","BHFUSE(佰宏)","BSMD0603L-100","LCSC","C2757929","BSMD0603L-100","F0603","BSMD0603L-100","F1,F2"
"29","2","M3螺丝","","","","","","M3螺丝","M3螺丝","","SCREW1,SCREW2"
"30","2","SS14","0.116","R+O(宏嘉诚)","SS14","LCSC","C7420316","SS14_C7420316","SMA_L4.3-W2.6-LS5.0-FD","SS14","D1,D2"
"31","2","test_point","","","","","","test_point","test_point","","B+1,B-1"
"32","2","TS-1088-AR02016","0.349","XUNPU(讯普)","TS-1088-AR02016","LCSC","C720477","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45","TS-1088-AR02016","SW1,SW2"
"33","2","TYPEC-304-ACP16","1.0923","XUNPU(讯普)","TYPEC-304-ACP16","LCSC","C2982555","TYPEC-304-ACP16_1","USB-C-SMD_TYPE-C-16P-1_1","TYPEC-304-ACP16","USB1,USB2"
"34","3","10kΩ","0.0081","UNI-ROYAL(厚声)","0603WAF1002T5E","LCSC","C25804","0603WAF1002T5E","R0603","10kΩ","R1,R2,R16"
"35","3","100kΩ","0.0052","UNI-ROYAL(厚声)","0402WGF1003TCE","LCSC","C25741","0402WGF1003TCE","R0402","100kΩ","R12,R13,R15"
"36","4","5.1kΩ","0.0073","FOJAN(富捷)","FRC0603F5101TS","LCSC","C2907044","FRC0603F5101TS","R0603","5.1kΩ","R7,R8,R9,R10"
"37","4","PESD5V0S1BBN","0.1534","BORN(伯恩半导体)","PESD5V0S1BBN","LCSC","C314264","PESD5V0S1BBN","SOD-523_L1.2-W0.8-LS1.6-BI","PESD5V0S1BBN","D3,D4,D7,D8"
"38","6","10uF","0.0766","SAMSUNG(三星)","CL10A106KP8NNNC","LCSC","C19702","CL10A106KP8NNNC","C0603","10uF","C2,C5,C6,C7,C13,C15"
"39","7","100nF","0.0233","YAGEO(国巨)","CC0603KRX7R9BB104","LCSC","C14663","CC0603KRX7R9BB104","C0603","100nF","C3,C4,C9,C10,C11,C14,C16"
